jband,k,e
33,1.17040,-0.74540
33,1.19697,-0.63043
33,1.22355,-0.67799
33,1.25012,-0.87912
33,1.27668,-1.08520
33,1.30326,-1.27888
33,1.32983,-1.45068
33,1.35641,-1.59680
34,1.38298,-1.71454
34,1.40955,-1.80304
34,1.43612,-1.86153
34,1.46269,-1.87803
34,1.48899,-1.84075
34,1.51530,-1.79509
34,1.54161,-1.77140
34,1.56791,-1.74165
34,1.59422,-1.70738
34,1.62052,-1.67139
34,1.64683,-1.63771
34,1.67313,-1.60947
34,1.69944,-1.59087
34,1.72574,-1.58429
34,0.00000,-1.80886
34,0.02680,-1.78637
34,0.05360,-1.71561
34,0.08040,-1.59678
34,0.10720,-1.44162
34,0.13401,-1.26378
34,0.16081,-1.07706
34,0.18761,-0.89942
34,0.21440,-0.75615
34,0.24120,-0.67450
34,0.26800,-0.64819
34,0.29481,-0.50845
34,0.32161,-0.41626
34,0.34841,-0.56233
34,0.37521,-0.61603
34,0.40201,-0.64426
34,0.42881,-0.66033
34,0.45562,-0.66573
34,0.48219,-0.65860
34,0.50876,-0.63693
34,0.53534,-0.60202
34,0.56191,-0.54955
34,0.58849,-0.47856
34,0.61505,-0.57322
34,0.64162,-0.63120
34,0.66820,-0.62223
34,0.69477,-0.57696
34,0.72134,-0.53466
34,0.74791,-0.49319
34,0.77449,-0.45256
34,0.80106,-0.41800
34,0.82763,-0.40329
34,0.85393,-0.41546
34,0.88024,-0.45224
34,0.90654,-0.50893
34,0.93285,-0.57441
34,0.95915,-0.63940
34,0.98546,-0.50849
34,1.01176,-0.31341
34,1.03807,-0.30832
34,1.06437,-0.34017
34,1.09068,-0.34351
34,1.11726,-0.34272
34,1.14382,-0.34055
34,1.17040,-0.37568
34,1.19697,-0.57296
34,1.22355,-0.66644
34,1.25012,-0.68255
34,1.27668,-0.79272
34,1.30326,-0.97276
34,1.32983,-1.17682
35,1.35641,-1.37701
35,1.38298,-1.55492
35,1.40955,-1.69411
35,1.43612,-1.78044
35,1.46269,-1.80886
35,1.48899,-1.80077
35,1.51530,-1.70281
35,1.54161,-1.50873
35,1.56791,-1.26813
35,1.59422,-1.00559
35,1.62052,-0.75784
35,1.64683,-0.57562
35,1.67313,-0.47155
35,1.69944,-0.41979
35,1.72574,-0.40329
35,0.00000,0.13236
35,0.02680,0.13022
35,0.05360,0.12348
35,0.08040,0.11511
35,0.10720,0.07358
35,0.13401,0.02083
35,0.16081,-0.06011
35,0.18761,-0.14717
35,0.21440,-0.23405
35,0.24120,-0.31205
35,0.26800,-0.36563
35,0.29481,-0.36853
35,0.32161,-0.32501
35,0.34841,-0.02203
35,0.37521,0.16742
35,0.40201,0.30616
35,0.42881,0.39320
35,0.45562,0.42226
35,0.48219,0.39943
35,0.50876,0.30720
35,0.53534,0.12818
35,0.56191,-0.10914
35,0.58849,-0.36298
35,0.61505,-0.56732
35,0.64162,-0.53546
35,0.66820,-0.48533
35,0.69477,-0.42247
35,0.72134,-0.35014
35,0.74791,-0.27336
35,0.77449,-0.19743
35,0.80106,-0.13147
35,0.82763,-0.12150
35,0.85393,-0.14151
35,0.88024,-0.18838
35,0.90654,-0.22797
35,0.93285,-0.25705
35,0.95915,-0.28054
35,0.98546,-0.30001
35,1.01176,-0.31213
35,1.03807,-0.23740
35,1.06437,-0.17285
35,1.09068,-0.16481
35,1.11726,-0.16723
35,1.14382,-0.18987
35,1.17040,-0.21807
35,1.19697,-0.22045
35,1.22355,-0.22502
35,1.25012,-0.22190
35,1.27668,-0.18203
35,1.30326,-0.11226
36,1.32983,-0.03200
36,1.35641,0.04062
36,1.38298,0.09108
36,1.40955,0.11747
36,1.43612,0.12915
36,1.46269,0.13236
36,1.48899,0.13169
36,1.51530,0.12744
36,1.54161,0.11369
36,1.56791,0.07989
36,1.59422,0.03503
36,1.62052,-0.01147
36,1.64683,-0.05473
